Human Rights - Nome,Human Rights - País,Human Rights - Grupo,CNPJ - Nome Fantasia,CNPJ - Nome Empresarial,CNPJ - CNPJ,CNPJ - Porte,CNPJ - Capital,CNPJ - Situação,CNPJ - Telefone,CNPJ - Email,CNPJ - Situação,CNPJ - CNAE,CNPJ - UF,CNPJ - Municipio,Investment - Name,Investment - Host Coyntry,Investment - Parent Company,Investment - Parent Country,Investment - Annual Sales,Investment - Number of Emplyees,Classificação
3M,USA,,3M INT HOLDING,3M INTERNATIONAL HOLDING B.V.,21058642000111,NAO INFORMADO,0,ATIVA,,GTVINHAS1@MMM.COM,ATIVA,6462000,EX,EXTERIOR,3m Do Brasil Ltda. - 3m Do Brasil,Brazil,3M Company,USA,,0,REGULAR
99 (part of Didi Chuxing),Brazil,Didi Chuxing,99,99 TAXIS,27301130000110,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Seara 99 B.V.,Netherlands,JBS S/A,BRAZIL,,0,RUIM
AA,desconhecido,,DHS2 AA LLC,DHS2 LIMITADA AA LLC,25010402000106,NAO INFORMADO,0,ATIVA,,GMC@CMNSOLUTIONS.COM.BR,ATIVA,6462000,EX,EXTERIOR,Empresa Brasileira De Tecnologia E Administracao De Convenios Haag S A - Ecobrás,Brazil,BUZAU INVERSIONES AA S.A.,URUGUAY,,570,REGULAR
ABB,Switzerland,,ABB,QUANT SWEDEN HOLDING AB,21542742000119,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Abb Ltda. - Abb,Brazil,ABB Ltd,SWITZERLAND,,3218,REGULAR
ABC (part of Walt Disney),USA,Walt Disney,ABC GROUP INC,ABC GROUP INC.,26685577000178,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,The Walt Disney Company Brasil Ltda. - Walt Disney Brasil,Brazil,The Walt Disney Company,USA,,118,RUIM
ABC (Spain),desconhecido,,ABC GROUP INC,ABC GROUP INC.,26685577000178,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Abc Group Do Brasil Ltda. - Abc Group Do Brasil Ltda,Brazil,ABC Group Inc,CANADA,,265,REGULAR
Abengoa,Spain,,ABENGOA S.A.,ABENGOA S.A.,06306509000143,DEMAIS,0,ATIVA,,,ATIVA,7112000,EX,EXTERIOR,Abengoa Construção Brasil Ltda. - Abengoa Brasil Ltda,Brazil,ABENGOA SA,SPAIN,,467,REGULAR
Abertis,desconhecido,,ABERTIS TELECOM,"ABERTIS TELECOM TERRESTRE, S.L.",20270532000156,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Centrovias Sistemas Rodoviários S/A. - Centrovias Sistemas Rodoviarios S/A.,Brazil,"ABERTIS INFRAESTRUCTURAS, SA",SPAIN,,300,RUIM
Acciona,Spain,,ACCIONA,"ACCIONA INDUSTRIAL, S.A.",30541137000114,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Acciona Do Brasil Ltda. - Acciona,Brazil,"ACCIONA, SA",SPAIN,,4,REGULAR
Acer,Taiwan,,ACER,ACER SOFTCAPITAL INCORPORATED,33701878000103,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Agp Tecnologia Em Informática Do Brasil Ltda. - Acer,Brazil,ACER INCORPORATED,TAIWAN,,80,REGULAR
Acerinox,desconhecido,,"ACERINOX, S.A.","ACERINOX, S.A.",05564130000170,DEMAIS,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Acx Do Brasil Representacoes Ltda - Acx Brasil Representacoes Ltda,Brazil,"ACERINOX, SA",SPAIN,,2,RUIM
ACOM (part of Mitsubishi UFJ Financial Group),Japan,Mitsubishi UFJ Financial Group,ACOM S.P.A.,ACOM S.P.A.,15566766000105,DEMAIS,0,ATIVA,,darc@consultoriadlc.com.br,ATIVA,7220700,EX,EXTERIOR,Banco De Tokyo Mitsubishi Ufj Brasil S/A. - Banco De Tokyo Mitsubishi Ufj Brasil Sa,Brazil,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",JAPAN,,267,RUIM
ACS (Brazil-Ukraine),desconhecido,,ACS,ACS DOBFAR S. P. A.,05641512000150,DEMAIS,0,ATIVA,,ataide@uol.com.br,ATIVA,2110600,EX,EXTERIOR,Affiliated Computer Services Do Brasil Ltda - Acs Do Brasil,Brazil,Xerox Corporation,USA,,1000,REGULAR
ADP,USA,,ADP,ADP INTERNATIONAL,32529189000109,NAO INFORMADO,0,ATIVA,,CPRADO@PACAEMBUCNC.COM.BR,ATIVA,6462000,EX,EXTERIOR,Adp Brasil Ltda. - Adp,Brazil,"Automatic Data Processing, Inc.",USA,,700,REGULAR
AES,USA,,AES UCH,AES UCH HOLDINGS (CAYMAN) LTD.,23840300000184,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Aes Guaiba Ii Empreendimentos Ltda. - Aes Guaiba 2 Empreendimentos Ltda.,Brazil,The AES Corporation,USA,,3,REGULAR
Banco Bradesco,Brazil,,BANCO BRADESCO ARGENTINA S.A.,BANCO BRADESCO S.A.,60746948375949,DEMAIS,0,ATIVA,,,ATIVA,6422100,EX,EXTERIOR,Banco Bradesco S/A - Bradesco Est Unif,Brazil,Banco Bradesco S/A,BRAZIL,,8793,BOA
Banco do Brasil,Brazil,,BANCO DO BRASIL AMERICAS,BANCO DO BRASIL AMERICAS,17300349000141,DEMAIS,0,ATIVA,,lalves@bbamericas.com,ATIVA,6421200,EX,EXTERIOR,Vale S/A. - Vale Sa,Brazil,Caixa de Previdência dos Funcionários do Banco do Brasil.,BRAZIL,,72403,RUIM
Banco Itau,desconhecido,,BANCO ITAU,ITAU CORPBANCA,12262596000187,DEMAIS,0,ATIVA,11  30034828,UNIDADEDEATENDIMENTOAFISCALIZACAO@CORREIO.ITAU.COM.BR,ATIVA,6421200,EX,EXTERIOR,Banco Itau Bba Sa - Banco Itau Bba S.A.,Peru,Iupar - Itaú Unibanco Participações S/A.,BRAZIL,,10,BOA
Banco Real (part of Santander),Brazil,Santander,CONDOMINIO DO EDIFICIO DO BANCO REAL,CONDOMINIO DO EDIFICIO DO BANCO REAL,03196593000100,DEMAIS,0,ATIVA,018 6232801,,ATIVA,8112500,SP,ARACATUBA,Zurich Santander Brasil Seguros E Previdência S/A. - Santander Seguros Sa,Brazil,ZURICH LATIN AMERICA HOLDING SL,SPAIN,,0,RUIM
Agco,desconhecido,,AGCO INTERNATIONAL LIMITED,AGCO INTERNATIONAL LIMITED,05569214000105,DEMAIS,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Gsi Brasil Indústria E Comércio De Equipamentos Agropecuários Ltda. - Gsi Brasil,Brazil,AGCO Corporation,USA,,360,RUIM
Agility,desconhecido,,AGILITY,AGILITY FUEL SOLUTIONS LLC,26523366000139,NAO INFORMADO,0,ATIVA,,,ATIVA,6462000,EX,EXTERIOR,Itatrans Agility Logística Internacional S/A. - Itatrans Agility,Brazil,AGILITY PUBLIC WAREHOUSING COMPANY KSC,KUWAIT,,320,REGULAR
Bank of America,USA,,"BANK OF AMERICA,NA","BANK OF AMERICA,NATIONAL ASSOCIATION",05537708000108,DEMAIS,0,ATIVA,,,ATIVA,6421200,EX,EXTERIOR,Bank Of América Merril Lynch Banco Multiplo S/A. - Merrill Lynch,Brazil,Bank of America Corporation,USA,,370,OTIMA
